source,department,category_path,category_name,category_url,category_node,asin,rank_on_page,page_asin_count,depth,fetch_status,fetch_note
New Releases,Electronics,Electronics,Electronics,https://www.amazon.com/gp/new-releases/electronics,electronics,B0GJTFXNRX,1,31,0,ok,
New Releases,Computers & Accessories,Computers & Accessories,Computers & Accessories,https://www.amazon.com/gp/new-releases/pc,pc,B0GR6FHGXX,1,31,0,ok,
New Releases,Cell Phones & Accessories,Cell Phones & Accessories,Cell Phones & Accessories,https://www.amazon.com/gp/new-releases/wireless,wireless,B0G4SWDH8P,1,31,0,ok,
New Releases,Camera & Photo,Camera & Photo,Camera & Photo,https://www.amazon.com/gp/new-releases/photo,photo,B0GT4LVKLZ,1,31,0,ok,
New Releases,Video Games,Video Games,Video Games,https://www.amazon.com/gp/new-releases/videogames,videogames,B0GKJB6G12,1,31,0,ok,
New Releases,Electronics,Electronics > Accessories & Supplies,Accessories & Supplies,https://www.amazon.com/gp/new-releases/electronics/281407/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0G1PJLWLZ,2,31,1,ok,
New Releases,Electronics,Electronics > Camera & Photo,Camera & Photo,https://www.amazon.com/gp/new-releases/electronics/502394/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0H14ZBX3M,1,31,1,ok,
New Releases,Electronics,Electronics > Car Electronics,Car Electronics,https://www.amazon.com/gp/new-releases/electronics/1077068/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0GWTQNVCV,1,31,1,ok,
New Releases,Electronics,Electronics > Cell Phones & Accessories,Cell Phones & Accessories,https://www.amazon.com/gp/new-releases/electronics/2811119011/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0GQ6VV79M,4,31,1,ok,
New Releases,Electronics,Electronics > Computers & Accessories,Computers & Accessories,https://www.amazon.com/gp/new-releases/electronics/541966/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0G1MRLXMV,2,31,1,ok,
New Releases,Electronics,Electronics > GPS & Navigation,GPS & Navigation,https://www.amazon.com/gp/new-releases/electronics/172526/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0GR4L2XSB,2,31,1,ok,
New Releases,Electronics,Electronics > Headphones,Headphones,https://www.amazon.com/gp/new-releases/electronics/172541/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0GSS4SGZR,2,31,1,ok,
New Releases,Electronics,Electronics > Home Audio & Theater,Home Audio & Theater,https://www.amazon.com/gp/new-releases/electronics/667846011/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0G9GQLST4,1,31,1,ok,
New Releases,Electronics,Electronics > Marine Electronics,Marine Electronics,https://www.amazon.com/gp/new-releases/electronics/319574011/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0FS97YWS9,1,31,1,ok,
New Releases,Electronics,Electronics > Office Electronics,Office Electronics,https://www.amazon.com/gp/new-releases/electronics/172574/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0GXZVRK3R,1,31,1,ok,
New Releases,Electronics,Electronics > Portable Audio & Video,Portable Audio & Video,https://www.amazon.com/gp/new-releases/electronics/172623/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0GV214XQ9,1,31,1,ok,
New Releases,Electronics,Electronics > Security & Surveillance,Security & Surveillance,https://www.amazon.com/gp/new-releases/electronics/524136/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0F14N7HHH,1,31,1,ok,
New Releases,Electronics,Electronics > Service & Replacement Plans,Service & Replacement Plans,https://www.amazon.com/gp/new-releases/electronics/16285901/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0GP92CTQR,1,9,1,ok,
New Releases,Electronics,Electronics > Televisions & Video,Televisions & Video,https://www.amazon.com/gp/new-releases/electronics/1266092011/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0DJGDC3BD,1,31,1,ok,
New Releases,Electronics,Electronics > Video Game Consoles & Accessories,Video Game Consoles & Accessories,https://www.amazon.com/gp/new-releases/electronics/7926841011/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0GWJHDCBQ,1,31,1,ok,
New Releases,Electronics,Electronics > Video Projectors,Video Projectors,https://www.amazon.com/gp/new-releases/electronics/300334/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0GGH9DJ9Q,1,31,1,ok,
New Releases,Electronics,Electronics > Wearable Technology,Wearable Technology,https://www.amazon.com/gp/new-releases/electronics/10048700011/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0GTMTZF3V,1,31,1,ok,
New Releases,Electronics,Electronics > eBook Readers & Accessories,eBook Readers & Accessories,https://www.amazon.com/gp/new-releases/electronics/2642125011/ref=zg_bsnr_nav_electronics_1,ref=zg_bsnr_nav_electronics_1,B0GPXPK65X,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Computer Accessories & Peripherals,Computer Accessories & Peripherals,https://www.amazon.com/gp/new-releases/pc/172456/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GF74ZGDZ,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Computer Components,Computer Components,https://www.amazon.com/gp/new-releases/pc/193870011/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GMLJCBBM,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Data Storage,Data Storage,https://www.amazon.com/gp/new-releases/pc/1292110011/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GG4BTNXY,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Desktops,Desktops,https://www.amazon.com/gp/new-releases/pc/565098/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GKD6MMSY,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > External Components,External Components,https://www.amazon.com/gp/new-releases/pc/3012292011/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0G34NJ11Y,2,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Laptop Accessories,Laptop Accessories,https://www.amazon.com/gp/new-releases/pc/3011391011/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GSQZH26T,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Laptops,Laptops,https://www.amazon.com/gp/new-releases/pc/565108/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GR1493ZV,2,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Monitors,Monitors,https://www.amazon.com/gp/new-releases/pc/1292115011/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GLV9PML4,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Networking Products,Networking Products,https://www.amazon.com/gp/new-releases/pc/172504/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GT4W54V2,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Printers,Printers,https://www.amazon.com/gp/new-releases/pc/172635/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B08DRMMFH3,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Routers,Routers,https://www.amazon.com/gp/new-releases/pc/300189/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GLP6QL6R,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Scanners,Scanners,https://www.amazon.com/gp/new-releases/pc/172584/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GJSBC2MR,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Servers,Servers,https://www.amazon.com/gp/new-releases/pc/11036071/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GFXXB3BT,1,13,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Tablet Accessories,Tablet Accessories,https://www.amazon.com/gp/new-releases/pc/2348628011/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GJZGJDXN,2,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Tablets,Tablets,https://www.amazon.com/gp/new-releases/pc/1232597011/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0FVXMHHRP,1,31,1,ok,
New Releases,Computers & Accessories,Computers & Accessories > Warranties & Services,Warranties & Services,https://www.amazon.com/gp/new-releases/pc/16285851/ref=zg_bsnr_nav_pc_1,ref=zg_bsnr_nav_pc_1,B0GPDSR9BP,2,9,1,ok,
